textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:ZNL193,,30/07/2024 8:24:00 a.m.,perimetro urbano,IN,
Group: ,Unit:ZNL193,,30/07/2024 11:39:00 a.m.,perimetro urbano,OUT,
Group: ,Unit:ZNL193,,1/08/2024 9:31:00 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,1/08/2024 9:35:27 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,1/08/2024 10:47:20 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,1/08/2024 10:49:17 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,2/08/2024 12:05:14 p.m.,Panamericana de Alimentos,IN,
Group: ,Unit:ZNL193,,2/08/2024 1:35:30 p.m.,Panamericana de Alimentos,OUT,
Group: ,Unit:ZNL193,,5/08/2024 8:31:22 a.m.,Lavadero Garrincha Las Victorias,IN,
Group: ,Unit:ZNL193,,5/08/2024 8:50:05 a.m.,Lavadero Garrincha Las Victorias,OUT,
Group: ,Unit:ZNL193,,6/08/2024 7:24:00 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:ZNL193,,6/08/2024 7:27:28 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:ZNL193,,8/08/2024 6:06:00 a.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,8/08/2024 6:09:32 a.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,8/08/2024 1:18:13 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,8/08/2024 1:19:13 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,8/08/2024 9:08:25 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,8/08/2024 9:11:00 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,9/08/2024 10:51:56 a.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,9/08/2024 10:58:40 a.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,9/08/2024 6:46:33 p.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,9/08/2024 6:59:00 p.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,10/08/2024 10:35:32 a.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,10/08/2024 10:37:32 a.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,10/08/2024 11:08:52 a.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,10/08/2024 11:11:58 a.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,12/08/2024 4:27:53 p.m.,PEAJE SAN PEDRO ,OUT,
Group: ,Unit:ZNL193,,12/08/2024 4:40:16 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,12/08/2024 4:42:16 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,12/08/2024 5:18:07 p.m.,PEAJE DE LA URIBE,IN,
Group: ,Unit:ZNL193,,12/08/2024 5:20:06 p.m.,PEAJE DE LA URIBE,OUT,
Group: ,Unit:ZNL193,,14/08/2024 10:39:30 a.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,14/08/2024 10:40:32 a.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,14/08/2024 6:26:00 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,14/08/2024 6:30:36 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,14/08/2024 9:05:03 p.m.,PEAJE COROZAL,IN,
Group: ,Unit:ZNL193,,14/08/2024 9:06:02 p.m.,PEAJE COROZAL,OUT,
Group: ,Unit:ZNL193,,15/08/2024 3:39:35 p.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,15/08/2024 3:52:35 p.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,15/08/2024 4:35:55 p.m.,PEAJE DE CHUSACA  : Cundinamarca 250077,IN,
Group: ,Unit:ZNL193,,15/08/2024 4:37:50 p.m.,PEAJE DE CHUSACA  : Cundinamarca 250077,OUT,
Group: ,Unit:ZNL193,,15/08/2024 7:53:29 p.m.,PEAJE CHINAUTA ,IN,
Group: ,Unit:ZNL193,,15/08/2024 7:55:59 p.m.,PEAJE CHINAUTA ,OUT,
Group: ,Unit:ZNL193,,16/08/2024 1:28:50 p.m.,PEAJE SAN PEDRO ,IN,
Group: ,Unit:ZNL193,,16/08/2024 1:30:58 p.m.,PEAJE SAN PEDRO ,OUT,
Group: ,Unit:ZNL193,,22/08/2024 6:04:22 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,22/08/2024 6:06:21 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,22/08/2024 7:10:30 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,22/08/2024 7:12:30 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,24/08/2024 1:36:46 a.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,24/08/2024 1:37:44 a.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,28/08/2024 6:51:37 a.m.,perimetro urbano,IN,
Group: ,Unit:ZNL193,,28/08/2024 9:22:05 a.m.,perimetro urbano,OUT,
Group: ,Unit:ZNL193,,28/08/2024 9:27:59 a.m.,PEAJE ESTAMBUL,IN,
Group: ,Unit:ZNL193,,28/08/2024 9:34:54 a.m.,PEAJE ESTAMBUL,OUT,
Group: ,Unit:ZNL193,,29/08/2024 4:43:00 a.m.,Bascula Auto Sur : Bogotá 110611,IN,
