GroupName,UnitName,ContactName,Address,TimeIn,textbox16,StopLengthSecs,textbox7
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,30/07/2024 5:34:40 a.m.,30/07/2024 5:35:47 a.m.,00h:01m:07s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,30/07/2024 6:10:20 a.m.,30/07/2024 6:11:06 a.m.,00h:00m:46s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,30/07/2024 6:10:35 a.m.,30/07/2024 6:11:50 a.m.,00h:01m:15s,704h:18m:38s
,Unit: ZNN824,Peaje El Trapiche,Hatillo-Girardota,30/07/2024 7:58:31 a.m.,30/07/2024 7:59:56 a.m.,00h:01m:25s,704h:18m:38s
,Unit: ZNN824,EDS Llanos cuiva,"Av 25, Santa Rosa De Osos, Antioquia",30/07/2024 9:57:19 a.m.,30/07/2024 9:59:18 a.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,30/07/2024 10:02:17 a.m.,30/07/2024 10:02:54 a.m.,00h:00m:37s,704h:18m:38s
,Unit: ZNN824,Peaje Taraza,Puerto Bélgica-Tarazá,30/07/2024 2:04:26 p.m.,30/07/2024 2:06:33 p.m.,00h:02m:07s,704h:18m:38s
,Unit: ZNN824,Peaje La Apartada,Caucasia-La Apartada,30/07/2024 3:26:43 p.m.,30/07/2024 3:27:04 p.m.,00h:00m:21s,704h:18m:38s
,Unit: ZNN824,Hotel Los Manguitos PlanetaRica,Buenavista-Planeta Rica ,30/07/2024 4:31:07 p.m.,30/07/2024 4:33:07 p.m.,00h:02m:00s,704h:18m:38s
,Unit: ZNN824,Peaje Carimagua,El Viajano - Pueblo Nuevo ,30/07/2024 5:10:45 p.m.,30/07/2024 5:11:29 p.m.,00h:00m:44s,704h:18m:38s
,Unit: ZNN824,la Y de Monteria,22 I-25 ,30/07/2024 5:42:04 p.m.,30/07/2024 5:42:45 p.m.,00h:00m:41s,704h:18m:38s
,Unit: ZNN824,la Y de Monteria,21 I-25 ,30/07/2024 5:42:04 p.m.,30/07/2024 5:42:45 p.m.,00h:00m:41s,704h:18m:38s
,Unit: ZNN824,Peaje La esperanza,Palmira-Tolu Viejo,31/07/2024 5:36:42 a.m.,31/07/2024 5:38:46 a.m.,00h:02m:04s,704h:18m:38s
,Unit: ZNN824,Peaje La esperanza,Palmira-Tolu Viejo,31/07/2024 5:38:54 a.m.,31/07/2024 5:39:19 a.m.,00h:00m:25s,704h:18m:38s
,Unit: ZNN824,parq. hotel El mulero,Variante Mamonal Gambote ,16/08/2024 12:03:44 p.m.,16/08/2024 1:14:59 p.m.,01h:11m:15s,704h:18m:38s
,Unit: ZNN824,eds El Mulero,Variante Mamonal Gambote ,16/08/2024 12:13:00 p.m.,16/08/2024 1:14:59 p.m.,01h:01m:59s,704h:18m:38s
,Unit: ZNN824,hotel El Mulero,Variante Mamonal Gambote ,16/08/2024 12:13:00 p.m.,16/08/2024 1:14:59 p.m.,01h:01m:59s,704h:18m:38s
