Unit,Events,Date,Landmark
KUM480,Ignition ON,Sep 28 2024 11:32 AM,
KUM480,Ignition ON,Sep 28 2024 09:51 AM,
KUM480,Ignition ON,Sep 28 2024 09:09 AM,
KUM480,Ignition ON,Sep 28 2024 09:01 AM,
KUM480,Ignition ON,Sep 28 2024 08:52 AM,
KUM480,Ignition ON,Sep 28 2024 08:48 AM,
KUM480,Landmark OUT,Sep 28 2024 08:31 AM,Taller de Fundición Colombia LTDA.
KUM480,Landmark IN,Sep 28 2024 08:29 AM,Taller de Fundición Colombia LTDA.
KUM480,Ignition ON,Sep 28 2024 08:13 AM,
KUM480,Ignition ON,Sep 28 2024 08:01 AM,
KUM480,Landmark OUT,Sep 28 2024 08:01 AM,LEONEL COCOMA HENOC
KUM480,Ignition ON,Sep 28 2024 07:57 AM,LEONEL COCOMA HENOC
KUM480,Landmark IN,Sep 28 2024 07:45 AM,LEONEL COCOMA HENOC
KUM480,Landmark OUT,Sep 28 2024 07:16 AM,parq. Valle del Lili
KUM480,POWER UP,Sep 28 2024 07:15 AM,parq. Valle del Lili
KUM480,Ignition ON,Sep 28 2024 07:15 AM,parq. Valle del Lili
KUM480,Landmark IN,Sep 27 2024 06:32 PM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 27 2024 05:36 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Ignition ON,Sep 27 2024 05:28 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Landmark IN,Sep 27 2024 05:16 PM,MORALES VICTORIA EUGENIA CALI
KUM480,Geofence OUT,Sep 27 2024 04:58 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 04:58 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Ignition ON,Sep 27 2024 04:52 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Ignition ON,Sep 27 2024 04:40 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Landmark IN,Sep 27 2024 04:37 PM,LAVANDERIA IND SURTEÑIR S.A.
KUM480,Landmark OUT,Sep 27 2024 04:28 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 04:26 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 27 2024 04:14 PM,
KUM480,Ignition ON,Sep 27 2024 03:41 PM,
KUM480,Ignition ON,Sep 27 2024 03:40 PM,
KUM480,Landmark OUT,Sep 27 2024 03:29 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 27 2024 03:27 PM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 27 2024 03:24 PM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 03:22 PM,Br Yumbo Z Parqueo
KUM480,Ignition ON,Sep 27 2024 03:22 PM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 02:47 PM,Br Yumbo Z Cargue
KUM480,Geofence IN,Sep 27 2024 02:47 PM,Br Yumbo Z Parqueo
KUM480,Geofence OUT,Sep 27 2024 02:47 PM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 02:46 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 27 2024 02:42 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 27 2024 01:50 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 01:50 PM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 27 2024 01:50 PM,Br Yumbo Z Parqueo
KUM480,Geofence IN,Sep 27 2024 01:50 PM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 01:46 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 01:21 PM,Br Yumbo Z Parqueo
KUM480,Landmark IN,Sep 27 2024 01:21 PM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 01:19 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 01:17 PM,Quimicol Ltda
KUM480,Geofence IN,Sep 27 2024 01:13 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,POWER UP,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,Ignition ON,Sep 27 2024 12:29 PM,parq. Valle del Lili
KUM480,Landmark IN,Sep 27 2024 11:20 AM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 27 2024 11:03 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 11:01 AM,Impadoc S.A.S.
KUM480,Landmark IN,Sep 27 2024 10:59 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 10:59 AM,
KUM480,Ignition ON,Sep 27 2024 10:54 AM,
KUM480,Ignition ON,Sep 27 2024 10:04 AM,
KUM480,Landmark OUT,Sep 27 2024 10:02 AM,Impadoc S.A.S.
KUM480,Ignition ON,Sep 27 2024 09:56 AM,Impadoc S.A.S.
KUM480,Landmark IN,Sep 27 2024 09:51 AM,Impadoc S.A.S.
KUM480,Landmark OUT,Sep 27 2024 09:12 AM,Alquin Ltda
KUM480,Landmark IN,Sep 27 2024 09:09 AM,Alquin Ltda
KUM480,Geofence OUT,Sep 27 2024 08:42 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 08:36 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 27 2024 08:32 AM,Br Yumbo Z Parqueo
KUM480,Ignition ON,Sep 27 2024 08:32 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 08:18 AM,Br Yumbo Z Parqueo
KUM480,Geofence OUT,Sep 27 2024 08:18 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 27 2024 08:13 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 27 2024 06:15 AM,ingreso y salida de  brentag 
KUM480,Landmark IN,Sep 27 2024 06:15 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 27 2024 06:07 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 27 2024 06:05 AM,Quimicol Ltda
KUM480,Geofence IN,Sep 27 2024 06:03 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark IN,Sep 27 2024 06:03 AM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 27 2024 05:26 AM,parq. El Caney
KUM480,Landmark IN,Sep 27 2024 05:22 AM,parq. El Caney
KUM480,POWER UP,Sep 27 2024 05:21 AM,
KUM480,Ignition ON,Sep 27 2024 05:21 AM,
KUM480,Landmark OUT,Sep 26 2024 05:35 PM,Alquin Ltda
KUM480,Landmark IN,Sep 26 2024 05:33 PM,Alquin Ltda
KUM480,Geofence OUT,Sep 26 2024 04:56 PM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 04:53 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 26 2024 04:52 PM,BSN MEDICAL LTDA
KUM480,Landmark OUT,Sep 26 2024 04:48 PM,Industrias Lember                                 
KUM480,Ignition ON,Sep 26 2024 04:45 PM,Industrias Lember                                 
KUM480,Landmark IN,Sep 26 2024 02:20 PM,Industrias Lember                                 
KUM480,Landmark OUT,Sep 26 2024 02:17 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 02:15 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 26 2024 02:11 PM,
KUM480,Landmark OUT,Sep 26 2024 01:21 PM,BSN MEDICAL LTDA
KUM480,Landmark IN,Sep 26 2024 01:20 PM,BSN MEDICAL LTDA
KUM480,Geofence OUT,Sep 26 2024 01:16 PM,Br Yumbo Z Parqueo
KUM480,Landmark OUT,Sep 26 2024 01:16 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 26 2024 01:13 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 26 2024 01:10 PM,Br Yumbo Z Parqueo
KUM480,Landmark IN,Sep 26 2024 01:10 PM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 26 2024 01:08 PM,Quimicol Ltda
KUM480,Landmark IN,Sep 26 2024 01:06 PM,Quimicol Ltda
KUM480,Ignition ON,Sep 26 2024 01:02 PM,Clarenst
